Puzzle id,GT Explanation,Original,Summary,Highlight,HighlightSummary,AVHS
1:seed1,words related to colors and nothing else,colors or phrases describing colors.,words that are colors.,references to colors.,color-related words and descriptors.,color words or phrases indicating a color.
1:seed2,words related to colors and nothing else,color references.,words related to colors.,words related to colors.,references to colors.,color names or references to colors.
1:seed3,words related to colors and nothing else,color adjectives.,color descriptors.,color indicators.,color names or phrases related to color.,color-related words and phrases.
2:seed1,"the name of the second named character introduced in the passage, excluding the narrator",names with one syllable.,characters' names from stories., the names of characters in narratives.,names of characters in a story or narrative.,names of characters in a story.
2:seed2,"the name of the second named character introduced in the passage, excluding the narrator","human names, specifically in the middle of a sentence or narrative.",instances of proper names in the text.,names of characters in fictional story texts.,"proper nouns, particularly names of characters in a story.","proper names, particularly those appearing in narrative or storytelling contexts."
2:seed3,"the name of the second named character introduced in the passage, excluding the narrator",proper names of people within a text.,names of characters within narratives or stories.,names of characters in a story.,"mentions of proper nouns, specifically names.",proper nouns used as names of individuals in the story.
3:seed1,phrases that are similes and nothing else,"similes or comparisons, often using 'like' or 'as'.",similes or comparative phrases using 'like' or 'as'.,"comparisons and similes, typically structured as ""like"" or ""as"" comparisons.","similes and comparisons using ""like"" or ""as"".",similes or comparisons using 'like' or 'as'.
3:seed2,phrases that are similes and nothing else,similes or comparisons using 'like' or 'as'.,similes and comparatives in the text.,similes or comparative phrases beginning with 'like' or 'as'.,similes or comparisons using 'like' or 'as'.,similes or phrases using 'like' or 'as' in comparisons.
3:seed3,phrases that are similes and nothing else,similes in the text.,"similes and comparisons using ""like"" or ""as"".","phrases demonstrating similes or comparisons, especially those that use 'like' or 'as'.","simile sentences, or comparisons using 'like' or 'as'.","similes or comparisons using ""like"" or ""as""."
4:seed1,the substitution of a key word in a common idiom that isn't the usual choice for that idiom,synonyms or substitutions for words typically used in idioms or common phrases.,synonyms or alternative words often used to replace more common words or phrases in idiomatic expressions., idiomatic expressions and their variations.,replacements for typical idiomatic expressions.,literal translations of idiomatic expressions or phrases.
4:seed2,the substitution of a key word in a common idiom that isn't the usual choice for that idiom,slightly altered versions of common idiomatic expressions.,substitute words in common idiomatic expressions., idiomatic phrases or their variants.,literal translations of idioms or idiomatic phrases.,literal translations or alterations of common idioms or phrases.
4:seed3,the substitution of a key word in a common idiom that isn't the usual choice for that idiom,words that are uncommon or altered versions of common idioms or phrases.,tokens that are unusual or uncommon synonyms in idiomatic expressions.,idiomatic phrases or their synonyms.,literal translations of idiomatic expressions or euphemisms.,phrases where standard idioms have been replaced with synonymous words.
5:seed1,"words describing motion that uses feet (e.g. ""running"", ""walking""), but not words describing motion that doesn’t use feet (e.g. ""flying"", ""hovering"")",action verbs that describe physical movements.,verbs that describe physical movement or actions.,terms associated with physical movement and actions.,verbs describing physical movements or actions.,past tense verbs describing physical movements or actions.
5:seed2,"words describing motion that uses feet (e.g. ""running"", ""walking""), but not words describing motion that doesn’t use feet (e.g. ""flying"", ""hovering"")","action verbs, with a special emphasis on those related to movement or physical activity.",action verbs describing different forms of movement.,action verbs indicating motion or movement.,verbs that describe a physical action or movement.,past tense verbs related to physical actions or movements.
5:seed3,"words describing motion that uses feet (e.g. ""running"", ""walking""), but not words describing motion that doesn’t use feet (e.g. ""flying"", ""hovering"")",verbs related to physical movement actions.,verbs that describe physical movement or action.,verbs that depict physical movements or actions.,verbs denoting human physical movement.,verbs that indicate physical movement or action.
6:seed1,historically inaccurate numerical years in the passage and nothing else, numerical representations of specific years in historical events.,incorrect historical dates., numbers related to historic dates.,incorrect historical dates or years.,historical years that are inaccurately represented.
6:seed2,historically inaccurate numerical years in the passage and nothing else,numbers in the contexts related to historical events or year indications.,incorrect historical dates in the text.,individual digits within historical dates.,numbers that are potentially part of years but are incorrect or out of historical context.,incorrect historical dates.
6:seed3,historically inaccurate numerical years in the passage and nothing else,years within the context of a historical event., historical years that are incorrect or anachronistic., numbers that represent years in a historical context.,historical years with incorrect digits., specific numerals that could potentially be part of historical years.
7:seed1,incorrect answers in grade school math problems,incorrect answers to simple math problems in text.,numbers that are given as answers to arithmetic problems in text.,incorrect numerical answers in a mathematical context.,incorrect numerical answers in mathematical problems.,incorrect numerical answers in text-based math problems.
