Layer,Neuron,Original,Summary,Highlight,HighlightSummary,AVHS
0,286,"occurrences of the word ""compared"" or words related to comparison.",words or phrases that indicate comparison.,words associated with comparisons or contrast.,words and phrases relating to comparison.,"words associated with comparisons and relating to ""compared to""."
0,615,words and phrases related to animals and their environments.,"references to animals in confined spaces, such as zoos or cages.",references to animals and zoos.,words related to zoos and animal enclosures.,"words related to animals, cages, and confined spaces, typically in the context of a zoo."
0,1571,verbs that describe a process or action.,verbs that indicate a process or procedure.,"verbs that indicate a process, task, or action.",verbs that indicate the process or action required in given situations.,words related to processes or sequences of actions.
0,494,instances of the word 'care' and related terms or phrases.,"the use of the word 'care', regardless of context.","the word ""care"" and its variations used in various contexts.",the term 'care' in different contexts.,"the word 'care' and its associated context, typically related to payment, practice, self-care, and mental care."
0,525,"expressions of surprise or shock, as well as terms related to political offices and figures.",words related to political figures and events.,words related to political or military entities and instances.,words related to positions of authority and occurrences of surprise or shock.,"words related to government, politics, or military contexts."
1,850,military ranks and roles.,military rank designations.,military ranks.,military titles or ranks.,military ranks and roles.
1,1021,"terms related to social, religious, or racial minorities and the discrimination or oppression they face.",words and phrases relating to minority groups and instances of social oppression or marginalization.,"words or phrases related to marginalized groups, oppression and offence.","words related to social, ethnic, or religious groups, particularly when concerning issues of marginalized communities or personal offense.","words related to social discrimination, minority groups, and feelings of offence or marginalization."
1,1853,"instances of the word 'invite' or its variations (e.g., 'invited', 'inviting').",instances of invitation or welcoming scenarios.,"instances where the word ""invite"" or its derivatives are used.",terms associated with invitations and hosting.,instances where the concept of invitation or welcoming is mentioned.
1,1523,portions of words that contain 'cy'.,"the presence of the token 'Cy', which might be part of a name or a color (Cyan).","the syllable ""cy"" in words.","tokens or parts of words that are related to the color blue, particularly in context involving characters or labels perceived as blue.",the presence of 'cy' or 'cyan' in words.
1,861,words related to disassembly or destruction.,"words related to the breaking, damage, or destruction of something.",words related to destruction or disassembly.,"words related to separation, breakage or damage.",words pertaining to destruction or separation.
2,1660,words related to prayer and joy.,words related to religious practices or rituals.,"instances related to religious practices, specifically prayers.",words related to religious activities.,words associated with religious practices and individuals.
2,99,words that start with 'overl' and 'flip'.,"words associated with change, transition, or overlap.",words related to transition or change in state.,words related to changing positions or directions.,and identify words referring to change or a transition of states or conditions.
2,1737,words related to investigations or exams.,words associated with infestation and affliction.,"words related to infestation, testing, and challenging events or conditions.",words relating to infestation and health disorders.,words associated with infestation or conditions affecting the normal state.
2,1818,words and numbers that end with 'ck'.,"elements in the text that are related to checks or checking, as well as number sequences with repeated figures.","numeric series, coding/scripting language syntax, and U.S. historical and sport team references."," parts of words that are common in language related to checks and balances, numerical sequences, and programming code.","words related to checks, including checks as in ""checks and balances"" in a political context, check in programming codes, and the 'ck' pattern in other words. It also seemed to respond to some number sequences."
2,124,specific proper nouns or names.,acronyms or capitalized words.,abbreviated terms or proper names.,acronyms or abbreviations in the text., capitalized abbreviations and proper nouns.
3,1352,"the word ""prior"", particularly in the context of referencing past events or conditions.","references to past events or conditions, often signaled by the use of the word ""prior"".",the usage of the word 'prior' to denote a time before a referenced event.,"the word ""prior"" used as a preposition indicating something happened before another event.",the usage of the term 'prior' and its context relating to time or order of events.
3,1992,"words and phrases associated with event organization, particularly invitations and admissions.",words and phrases related to event invitations and admission.,words related to event organization and participation.,"words related to events and their entry mechanisms, such as invitations or admissions.","words and phrases related to event participation, including admission, invitations, and seating arrangements."
3,1277,instances of gender and relationship references.,words and phrases related to intimate relationships and/or sexuality.,words and phrases related to romantic or flirtatious behavior and gender identities.,words and phrases associated with romantic relationships or flirtatious behavior.,words and phrases related to romantic or flirtatious relationships.
3,869,terms related to sun protection and skin care.,"words and phrases related to skincare, especially sunscreen and protection from sun damage.",words related to skincare and sun protection.,terms related to skincare and sun protection.,words related to sun protection and skin care.
3,1886,terms associated with prohibitions or restrictions.,words related to restrictions or bans.,"words related to prohibitions or restrictions, particularly governmental or institutional decisions to ban or restrict something.","references to prohibitions, restrictions, and bans.",words related to legal or political restrictions and bans.
4,1202,the standalone letter 'o'.,the occurrence of the character 'o'.,the letter 'o' often used as a short form or abbreviated part of words.,the letter 'o' in the context of a word.,the letter 'o' in the text.
4,1078,nouns that typically present individuals or roles.,words indicating roles or positions.,"nouns indicating pivotal subjects in the context, such as individuals, roles, or important objects.",nouns that define or imply a role or status of an individual or an event within a context.,nouns indicating roles or specific periods in a game or event.
4,1195,mentions of home and marital status.,references to family-related terms and places of residence., mentions of familial relationships and domestic life.,keywords associated with familial relationships and domestic life.,words related to familial and personal relationships or life events.
4,1026,words and phrases related to commerce and trade.,terms and phrases related to geopolitical negotiations and trade.,"keywords and phrases related to negotiation and policy deals, especially in the context of international relations and economics.",words related to international relations and diplomacy.,"terms related to politics, particularly focusing on negotiations, trade, and international relations."
4,1969, phrases related to regret or reminders.,expressions of regret and reminders.,"uses of the word ""sorry"" or ""forget"" suggesting expressions of regret or reminders.",expressions of regret or reminders not to overlook something.,apologetic phrases or reminders.
5,1594,"two-letter combinations, particularly 'ik'.",tokens that contain the string 'ik'.,words that include 'ik' in them.,"parts of proper names, specifically those ending in 'ik'.","parts of proper nouns, especially names, that end with 'ik'."
5,14," words related to science fiction and audio, as well as the term 'hockey'.",terms and abbreviations related to the 'sci-fi' genre or the 'fi' sound in the context of other words.,phrases and words related to genres or fields identified by an abbreviation ending in 'fi'.," words associated with genres or types of activities, particularly emphasized on science-fiction and sports.",words related to the genre of science fiction and audio-related terms.
